id	nombre_titular	apellido_titular	número_cuenta	tipo_cuenta	 saldo_actual 	fecha_ultimo_movimiento	fecha_apertura	sucursal	ciudad_sucursal	Numero días inactivo	Cliente	 Valor UVR FECHA 	 SALDO UVR 	Es reportable?	
176	Rana	Stanlick	113110379	corriente	" 142,864 "	5/10/2021	6/16/2016	SUGAR LAND	Salem	1511.00	Inactivo	 280 	 510 	No	
177	Lorenzo	Romayne	221271265	corriente	" 26,037 "	4/7/2022	8/23/2018	READING	San Teodoro	1179.00	Inactivo	 300 	 87 	Si	
178	Trescha	Gillham	61207839	corriente	" 208,229 "	10/22/2020	1/20/2016	HINESVILLE	Novi Sad	1711.00	Inactivo	 275 	 758 	No	
179	Vita	Schlagh	64103833	corriente	" 91,729 "	8/31/2023	4/26/2016	CINCINNATI	Combapata	668.00	Inactivo	 351 	 261 	Si	
180	Catherina	Vina	21202175	ahorros	" 22,817 "	7/29/2022	12/13/2018	MINNEAPOLIS	Huangcun	1066.00	Inactivo	 311 	 73 	Si	
181	Anne-corinne	Crotty	123206011	ahorros	" 168,136 "	7/1/2020	6/20/2018	LAKEWOOD	Avdzaga	1824.00	Inactivo	 276 	 609 	No	
182	Lara	Lohmeyer	83900619	corriente	" 35,407 "	4/15/2020	5/1/2016	FRANKFORT	Shikou	1901.00	Inactivo	 275 	 129 	Si	
183	Alejoa	Recke	21001208	ahorros	" 53,571 "	5/25/2025	10/30/2016	EAST RUTHERFORD	Svoboda nad Úpou	35.00	Activo	 390 	 137 	No	
184	Caleb	Sobieski	21300019	corriente	" 45,574 "	9/4/2022	7/12/2018	RICHMOND	Eldoret	1029.00	Inactivo	 314 	 145 	Si	
185	Rowland	Siddall	323371076	corriente	" 187,909 "	1/4/2024	11/4/2018	SPOKANE	Hongor	542.00	Inactivo	 358 	 525 	No	
186	Ingaborg	Chasen	211179982	corriente	" 71,659 "	5/30/2023	7/13/2016	RYE	Shaffa	761.00	Inactivo	 346 	 207 	Si	
187	Wendall	Brokenshire	113024504	ahorros	" 75,212 "	7/22/2022	8/24/2018	SUGAR LAND	Suai	1073.00	Inactivo	 311 	 242 	Si	
188	Liv	Ayling	122104046	ahorros	" 18,101 "	10/1/2023	3/4/2016	NAPERVILLE	Nantes	637.00	Inactivo	 353 	 51 	Si	
189	Talbot	Peery	53901473	ahorros	" 65,270 "	11/19/2024	9/17/2018	MINNEAPOLIS	Vitória do Mearim	222.00	Activo	 377 	 173 	No	
190	Minnaminnie	Symcox	107004352	ahorros	" 32,022 "	10/13/2022	6/26/2018	LAKEWOOD	Kota Bharu	990.00	Inactivo	 318 	 101 	Si	
191	Mame	Bulstrode	53900377	ahorros	" 114,878 "	6/24/2021	9/7/2017	RICHMOND	Limoeiro	1466.00	Inactivo	 283 	 406 	No	
192	Georgette	Buggs	113118342	ahorros	" 200,853 "	3/27/2023	7/16/2017	CORRIGAN	Štitar	825.00	Inactivo	 338 	 595 	No	
193	Chucho	Cowton	211370257	ahorros	" 70,259 "	3/17/2024	10/12/2017	LYNN	Satita	469.00	Inactivo	 364 	 193 	Si	
194	Royce	Sloan	55002244	corriente	" 132,898 "	12/12/2024	7/13/2018	PITTSBURGH	Atipuluhan	199.00	Activo	 376 	 353 	No	
195	Sophey	House	111904215	corriente	" 94,691 "	4/30/2024	4/15/2017	MINNEAPOLIS	Conceição do Coité	425.00	Inactivo	 369 	 257 	Si	
196	Nollie	Winfield	67016040	corriente	" 116,317 "	5/16/2022	6/30/2016	FT. LAUDERDALE	Laval	1140.00	Inactivo	 304 	 382 	No	
197	Lemar	Jouhan	71921891	ahorros	" 202,113 "	8/3/2022	11/8/2017	CLEVELAND	Irasan	1061.00	Inactivo	 311 	 649 	No	
198	Waverly	Hugli	65302044	corriente	" 205,868 "	10/9/2020	9/9/2016	BELZONI	Xuancheng	1724.00	Inactivo	 275 	 750 	No	
199	Jolynn	Ofer	84200981	corriente	" 199,978 "	7/10/2021	10/22/2016	GREENWOOD	Ejmiatsin	1450.00	Inactivo	 284 	 704 	No	
200	Brianna	Greenard	61219571	ahorros	" 177,520 "	5/7/2022	4/28/2017	TUPELO	Tarica	1149.00	Inactivo	 303 	 585 	No	
201	Glennis	Brittles	113015267	ahorros	" 69,014 "	3/15/2024	11/7/2018	SUGAR LAND	Caozhen	471.00	Inactivo	 364 	 190 	Si	
202	Carmelia	Christer	26007883	corriente	" 215,036 "	4/29/2021	9/25/2018	RICHMOND	Wotan	1522.00	Inactivo	 279 	 769 	No	
203	Ree	Deniset	55002286	ahorros	" 81,042 "	4/3/2020	12/5/2017	PITTSBURGH	Gambut	1913.00	Inactivo	 274 	 296 	Si	
204	Allegra	Matousek	63204746	corriente	" 180,105 "	1/18/2022	12/21/2017	CONWAY	Prelog	1258.00	Inactivo	 290 	 622 	No	
205	Belita	Seers	65403587	corriente	" 191,965 "	6/4/2020	4/6/2018	COVINGTON	Baume-les-Dames	1851.00	Inactivo	 276 	 695 	No	
206	Marijn	Storton	31311674	corriente	" 114,071 "	10/20/2023	5/28/2017	INDIANA	Mehtar L?m	618.00	Inactivo	 354 	 322 	Si	
207	Joana	Dalrymple	63107513	ahorros	" 32,178 "	8/8/2021	6/5/2016	MINNEAPOLIS	Houxixi	1421.00	Inactivo	 285 	 113 	Si	
208	Nat	Ingraham	274970144	corriente	" 203,044 "	8/30/2023	1/28/2016	CINCINNATI	Shubenka	669.00	Inactivo	 351 	 579 	No	
209	Waldo	Haining	31308564	corriente	" 193,050 "	11/24/2024	7/4/2016	ALBANY	Lorengau	217.00	Activo	 377 	 513 	No	
210	Gawen	Simner	114915081	corriente	" 168,145 "	5/13/2022	6/10/2018	SAN ANTONIO	Huaqiao	1143.00	Inactivo	 304 	 553 	No	
211	Pren	Swyer-Sexey	51000017	corriente	" 125,539 "	5/25/2024	6/16/2016	HENRICO	Tlogoagung	400.00	Inactivo	 371 	 339 	No	
212	Mariam	Gillooly	221272565	ahorros	" 166,591 "	1/29/2020	5/4/2016	WAYNE	Banjar Yehsatang	1978.00	Inactivo	 271 	 614 	No	
213	Malachi	Carbert	72402364	ahorros	" 180,827 "	1/19/2025	3/23/2017	CINCINNATI	Sbikha	161.00	Activo	 377 	 479 	No	
214	Gunther	Kienle	64101673	corriente	" 42,848 "	3/4/2023	1/11/2016	RICHMOND	Tubli	848.00	Inactivo	 333 	 129 	Si	
215	Denyse	Uzzell	122243800	corriente	" 19,605 "	12/20/2021	5/25/2017	SPOKANE	Mafra	1287.00	Inactivo	 288 	 68 	Si	
216	Jacquelin	Dinwoodie	43306855	corriente	" 198,157 "	6/15/2022	2/6/2018	INDIANA	Bengtsfors	1110.00	Inactivo	 308 	 643 	No	
217	Jess	Gemmill	63112249	corriente	" 96,373 "	1/19/2021	12/14/2016	LAFAYETTE	Nové Sedlo	1622.00	Inactivo	 275 	 350 	No	
218	Frederique	Adrain	72404948	ahorros	" 121,323 "	8/9/2021	12/25/2018	MIDLAND	Santo Domingo Oeste	1420.00	Inactivo	 285 	 426 	No	
219	Rici	Potes	101200440	ahorros	" 130,829 "	2/21/2021	1/6/2018	GRETNA	Sceaux	1589.00	Inactivo	 276 	 474 	No	
220	Loella	Eytel	71000521	ahorros	" 111,124 "	2/8/2022	9/19/2017	ST. PAUL	Ruse	1237.00	Inactivo	 291 	 382 	No	
221	Richard	Gouly	262285223	ahorros	" 57,679 "	9/30/2022	9/13/2018	FORT PAYNE	Jaen	1003.00	Inactivo	 316 	 182 	Si	
222	Clarissa	Darleston	42100272	ahorros	" 111,244 "	11/18/2023	7/5/2018	CINCINNATI	Palermo	589.00	Inactivo	 356 	 312 	Si	
223	Marjy	Dadley	102104600	ahorros	" 45,955 "	1/15/2021	12/27/2017	KANSAS CITY	San Isidro	1626.00	Inactivo	 275 	 167 	Si	
224	Aubry	Griston	103112992	ahorros	" 55,292 "	1/25/2024	10/1/2016	DUNCAN	Venëv	521.00	Inactivo	 359 	 154 	Si	
225	Bing	Emanulsson	73904188	corriente	" 201,415 "	2/22/2023	5/24/2018	SIOUX FALLS	Sambilawang	858.00	Inactivo	 331 	 608 	No	
226	Madonna	Hembling	43303447	corriente	" 100,521 "	4/7/2024	8/8/2018	PITTSBURGH	Stockholm	448.00	Inactivo	 367 	 274 	Si	
227	Esma	Endacott	11401135	ahorros	" 19,412 "	6/11/2024	9/11/2018	LAWRENCE	Kohlu	383.00	Inactivo	 372 	 52 	Si	
228	Lane	Binner	41204726	ahorros	" 23,689 "	1/16/2020	12/4/2018	BELLEVUE	Rockford	1991.00	Inactivo	 271 	 87 	Si	
229	Dionne	Karus	73902287	corriente	" 94,948 "	5/21/2022	12/31/2017	HOLSTEIN	J?mpur	1135.00	Inactivo	 305 	 311 	Si	
230	Marquita	Oxbe	42307224	corriente	" 165,970 "	6/7/2020	1/18/2017	NEWARK	Ju?r ad D?k	1848.00	Inactivo	 276 	 600 	No	
231	Datha	Tolle	231375290	corriente	" 186,364 "	12/12/2024	2/12/2016	HERMITAGE	Zaslawye	199.00	Activo	 376 	 495 	No	
232	Toma	Priter	83002342	corriente	" 177,136 "	11/11/2022	1/10/2017	CINCINNATI	Voskopojë	961.00	Inactivo	 320 	 553 	No	
233	Marcelo	Basil	75903983	ahorros	" 123,061 "	10/10/2020	7/3/2017	LOYAL	Pysznica	1723.00	Inactivo	 275 	 448 	No	
234	Rasla	Gilberthorpe	111103058	corriente	" 161,817 "	4/18/2020	4/1/2018	TUPELO	Bindura	1898.00	Inactivo	 275 	 589 	No	
235	Miguela	Besset	111104853	ahorros	" 161,539 "	12/21/2024	10/18/2018	RICHMOND	Rudnichnyy	190.00	Activo	 376 	 429 	No	
236	Tucker	Brundill	84000084	corriente	" 93,689 "	6/28/2024	6/19/2016	BIRMINGHAM	Zaoshi	366.00	Inactivo	 373 	 251 	Si	
237	Vida	Wessel	265270222	ahorros	" 146,958 "	2/12/2022	4/4/2016	LAYAYETTE	Czernice Borowe	1233.00	Inactivo	 291 	 505 	No	
238	Ina	Esh	75912165	corriente	" 143,714 "	8/31/2021	5/16/2016	NAPERVILLE	Gukovo	1398.00	Inactivo	 285 	 504 	No	
239	Lyndsie	Nother	61302417	corriente	" 217,200 "	1/14/2023	8/25/2017	RICHMOND	T’et’ri Tsqaro	897.00	Inactivo	 326 	 667 	No	
240	Quent	Cullity	63115123	ahorros	" 218,141 "	2/23/2025	3/18/2016	NAPERVILLE	Cabatuan	126.00	Activo	 380 	 574 	No	
241	Gare	Bennit	51404260	corriente	" 66,623 "	3/9/2021	3/22/2018	WILSON	Judita	1573.00	Inactivo	 277 	 241 	Si	
242	Jackelyn	Stonelake	21202311	corriente	" 112,040 "	6/1/2021	12/7/2017	PITTSBURGH	Eloúnda	1489.00	Inactivo	 281 	 399 	No	
243	Renie	Venneur	226071004	ahorros	" 114,370 "	1/23/2023	3/8/2016	HICKSVILLE	Vyritsa	888.00	Inactivo	 327 	 350 	No	
244	Rockwell	Bauldry	101114303	corriente	" 185,092 "	12/1/2023	9/1/2017	TONGANOXIE	Bergen op Zoom	576.00	Inactivo	 357 	 519 	No	
245	Cam	Fanner	211170363	corriente	" 55,850 "	5/2/2023	2/22/2016	RICHMOND	Américo Brasiliense	789.00	Inactivo	 343 	 163 	Si	
246	Lock	Sworne	71923323	corriente	" 22,704 "	6/27/2022	11/12/2017	CINCINNATI	Capioví	1098.00	Inactivo	 309 	 73 	Si	
247	Ethan	MacAllan	121031673	corriente	" 136,865 "	12/14/2023	8/8/2016	COLMA	Chuncheon	563.00	Inactivo	 357 	 383 	No	
248	Simone	Guslon	122231935	ahorros	" 138,277 "	10/10/2020	10/17/2016	ENGLEWOOD CLIFFS	Liutan	1723.00	Inactivo	 275 	 504 	No	
249	Martainn	Eadie	65000090	corriente	" 53,408 "	2/1/2024	12/6/2017	RICHMOND	Darovskoy	514.00	Inactivo	 360 	 149 	Si	
250	Darb	McLaverty	53112453	ahorros	" 124,675 "	5/3/2021	4/13/2016	HERMITAGE	Toutuo	1518.00	Inactivo	 280 	 446 	No	
251	Britte	Scott	103902717	ahorros	" 174,482 "	10/5/2021	3/7/2018	TULSA	Solnechnogorsk	1363.00	Inactivo	 286 	 609 	No	
252	Glenn	Klimus	122240764	ahorros	" 42,003 "	5/18/2022	3/5/2018	ONTARIO	Forquilhinha	1138.00	Inactivo	 305 	 138 	Si	
253	Sigvard	Hellens	111322583	ahorros	" 63,072 "	4/29/2021	12/22/2018	SUGAR LAND	Banjar Bias	1522.00	Inactivo	 279 	 226 	Si	
254	Darleen	Craddock	56004089	ahorros	" 210,645 "	6/9/2020	9/5/2016	MINNEAPOLIS	Viana	1846.00	Inactivo	 276 	 762 	No	
255	Elvis	Paull	107006143	ahorros	" 182,846 "	1/26/2023	6/4/2018	LAKEWOOD	Mahalapye	885.00	Inactivo	 327 	 559 	No	
256	Dyane	Brugden	21000089	ahorros	" 169,990 "	3/21/2021	9/18/2016	NEW CASTLE	Mogoditshane	1561.00	Inactivo	 277 	 613 	No	
257	Danyette	Scragg	107000796	corriente	" 186,454 "	12/1/2020	3/24/2017	RICHMOND	Kimhae	1671.00	Inactivo	 275 	 677 	No	
258	Imojean	Harman	102005916	ahorros	" 23,204 "	1/26/2024	7/19/2016	LAKEWOOD	Minglanilla	520.00	Inactivo	 359 	 65 	Si	
259	Benoite	Coche	31207966	ahorros	" 82,121 "	11/7/2020	9/21/2018	WILLIAMSTOWN	Blagoevgrad	1695.00	Inactivo	 275 	 298 	Si	
260	Cariotta	Baudouin	72000915	corriente	" 161,929 "	10/17/2023	12/14/2018	PITTSBURGH	Sumbergayam	621.00	Inactivo	 354 	 457 	No	
261	Neal	Low	102102864	corriente	" 185,208 "	12/31/2023	4/6/2018	PAGOSA SPRINGS	Cabañas	546.00	Inactivo	 358 	 518 	No	
262	Bondy	Alenin	63103193	ahorros	" 26,276 "	1/15/2023	10/15/2018	RICHMOND	Krajan	896.00	Inactivo	 326 	 81 	Si	
263	Sibby	Stilly	101101057	corriente	" 159,807 "	4/30/2022	7/5/2017	WELLINGTON	Yongjiahe	1156.00	Inactivo	 303 	 528 	No	
264	Iorgo	Confait	84301767	corriente	" 37,442 "	6/13/2022	7/1/2017	RICHMOND	Daiyue	1112.00	Inactivo	 308 	 122 	Si	
265	Celina	Lambert-Ciorwyn	81307227	corriente	" 135,241 "	12/16/2021	6/24/2016	POSEYVILLE	Kamloops	1291.00	Inactivo	 288 	 470 	No	
266	Etheline	Mival	221370616	ahorros	" 86,999 "	5/11/2023	4/26/2018	ALBANY	Sychëvo	780.00	Inactivo	 344 	 253 	Si	
267	Marylou	Hallas	51008996	corriente	" 103,646 "	1/21/2025	11/24/2017	ELIZABETH CITY	Port Antonio	159.00	Activo	 378 	 274 	No	
268	Onfre	Chatters	71006282	corriente	" 156,636 "	8/8/2024	2/21/2016	LOS ANGELES	Verkhniy Baskunchak	325.00	Activo	 375 	 418 	No	
269	Clement	Ballard	273970941	corriente	" 132,144 "	1/25/2023	10/28/2016	CLARINDA	Kaum	886.00	Inactivo	 327 	 404 	No	
270	Corenda	Copnar	55002480	ahorros	" 137,447 "	1/10/2022	2/2/2018	HERMITAGE	Petrikov	1266.00	Inactivo	 289 	 475 	No	
271	Mahala	Casaro	72402704	corriente	" 100,684 "	9/8/2023	9/19/2017	CINCINNATI	Lac La Biche	660.00	Inactivo	 351 	 287 	Si	
272	Vicki	Floyed	113193532	ahorros	" 68,611 "	7/10/2021	8/22/2016	NEW CASTLE	Andapa	1450.00	Inactivo	 284 	 241 	Si	
273	Iosep	Vahey	73903503	ahorros	" 111,737 "	9/4/2024	1/29/2018	STORM LAKE	Sedandang	298.00	Activo	 376 	 298 	No	
274	Annis	Landeaux	62203395	ahorros	" 101,225 "	12/2/2021	10/19/2016	PELL CITY	Warren	1305.00	Inactivo	 288 	 352 	No	
275	Ashli	Seago	75907413	ahorros	" 32,767 "	1/20/2022	7/28/2018	MILTON	Yên Bái	1256.00	Inactivo	 290 	 113 	Si	
276	Ashlee	Savine	261170740	corriente	" 97,071 "	6/18/2025	11/30/2017	BIRMINGHAM	Emiliano Zapata	11.00	Activo	 392 	 248 	No	
277	Haroun	cornhill	91902531	corriente	" 80,636 "	7/16/2022	12/8/2016	BENSON	Bueng Kum	1079.00	Inactivo	 311 	 260 	Si	
278	Pen	Gregoire	84202837	ahorros	" 196,827 "	5/18/2020	1/19/2017	TUPELO	Qinhong	1868.00	Inactivo	 276 	 713 	No	
279	Linnell	Minshull	122237515	ahorros	" 108,211 "	2/13/2024	3/31/2016	ALHAMBRA	Lovrenc na Pohorju	502.00	Inactivo	 360 	 300 	Si	
280	Arman	Sheehan	71926320	corriente	" 112,899 "	10/3/2023	6/29/2016	NAPERVILLE	Tilang	635.00	Inactivo	 353 	 320 	Si	
281	Allyson	Whorton	82904726	ahorros	" 56,532 "	9/8/2024	8/5/2016	EUREKA SPRINGS	Hezheng Chengguanzhen	294.00	Activo	 376 	 150 	No	
282	Tony	Mendenhall	111000805	corriente	" 179,289 "	7/20/2024	9/29/2016	SUGAR LAND	Niitsu-honch?	344.00	Activo	 374 	 479 	No	
283	Sergeant	Lethbridge	71002503	corriente	" 150,573 "	12/4/2023	3/27/2016	ROSEMONT	Guanqian	573.00	Inactivo	 357 	 422 	No	
284	Maximilien	Kobelt	55003340	corriente	" 200,455 "	7/30/2022	10/21/2017	ROCKVILLE	Roanoke	1065.00	Inactivo	 311 	 644 	No	
285	Adela	Allaway	102303841	ahorros	" 206,738 "	4/12/2022	3/1/2016	HELENA	Jianshe	1174.00	Inactivo	 301 	 688 	No	
286	Corinna	Imort	103102494	corriente	" 193,836 "	4/30/2025	11/18/2018	MARLOW	Pewel Wielka	60.00	Activo	 388 	 500 	No	
287	Muire	Tesauro	72403473	corriente	" 158,109 "	8/9/2024	10/8/2017	COLUMBUS	Turka	324.00	Activo	 375 	 422 	No	
288	Cyrus	Stockford	81925816	ahorros	" 117,838 "	3/11/2025	1/31/2017	HILLSBORO	São Pedro de Muel	110.00	Activo	 382 	 308 	No	
289	Emily	Teare	53200446	ahorros	" 192,395 "	5/24/2020	1/8/2017	RICHMOND	Jijiazhuang	1862.00	Inactivo	 276 	 697 	No	
290	Guthrie	Phare	71918150	ahorros	" 203,569 "	10/22/2022	4/19/2017	NAPERVILLE	Concordia	981.00	Inactivo	 319 	 639 	No	
291	Wallis	Geroldo	41202511	corriente	" 114,830 "	5/7/2024	2/18/2018	HERMITAGE	Aco	418.00	Inactivo	 369 	 311 	Si	
292	Hedvig	Admans	91204255	corriente	" 177,746 "	6/28/2022	4/10/2018	FULDA	New Haven	1097.00	Inactivo	 309 	 575 	No	
293	Alf	Wanstall	21004823	ahorros	" 195,452 "	12/24/2021	10/26/2017	BUFFALO	Kanazawa-shi	1283.00	Inactivo	 288 	 678 	No	
294	Sunny	Ship	304971987	ahorros	" 172,302 "	2/8/2025	6/20/2016	SIOUX FALLS	Egindiköl	141.00	Activo	 379 	 455 	No	
295	Wyatan	O'Gready	21906934	ahorros	" 131,111 "	1/2/2024	9/17/2017	ALBANY	Lampihung	544.00	Inactivo	 358 	 366 	No	
296	Orsola	Vynall	71112817	ahorros	" 82,730 "	2/16/2021	5/31/2018	EMDEN	Shawnee Mission	1594.00	Inactivo	 276 	 300 	Si	
297	Aron	Wimlet	111300945	ahorros	" 211,994 "	9/17/2021	9/1/2016	HENRICO	Raci Kulon	1381.00	Inactivo	 286 	 742 	No	
298	Robinet	Itzkovwitch	107005953	corriente	" 47,881 "	8/28/2024	9/18/2017	DENVER	Luthu	305.00	Activo	 375 	 128 	No	
299	Pearl	Heineke	67016354	corriente	" 205,093 "	5/16/2022	2/29/2016	WAYNE	Lasiana	1140.00	Inactivo	 304 	 674 	No	
300	Hy	McColley	72407987	corriente	" 165,866 "	9/2/2023	11/14/2018	MIDLAND	Jiaowei	666.00	Inactivo	 351 	 473 	No	
301	Maxie	Aisbett	91208154	ahorros	" 38,786 "	5/3/2021	1/3/2017	KIESTER	Yezhu	1518.00	Inactivo	 280 	 139 	Si	
302	Graham	Kinnaird	57000697	corriente	" 131,191 "	4/23/2020	4/14/2017	COLUMBUS	Krajan Winong	1893.00	Inactivo	 275 	 477 	No	
303	Kylie	Dyers	111104743	corriente	" 61,415 "	11/23/2020	5/24/2018	TUPELO	Azua	1679.00	Inactivo	 275 	 223 	Si	
304	Seumas	Benezeit	121142779	corriente	" 187,979 "	8/26/2024	1/22/2017	SPOKANE	B??dów	307.00	Activo	 375 	 501 	No	
305	Amby	Cubin	62102849	corriente	" 184,816 "	9/22/2024	9/28/2016	DOZIER	Th? Tr?n N??c Hai	280.00	Activo	 376 	 492 	No	
306	Dix	Gosforth	65302358	ahorros	" 71,519 "	11/29/2024	1/10/2017	COLUMBIA	Xindong	212.00	Activo	 377 	 190 	No	
307	Weider	MacKenzie	221380114	ahorros	" 99,364 "	6/16/2025	8/4/2016	PITTSFIELD	Poste du Lac	13.00	Activo	 392 	 254 	No	
308	Zeb	Nelthrop	226071237	ahorros	" 22,689 "	8/23/2023	9/8/2016	READING	Masaran	676.00	Inactivo	 350 	 65 	Si	
309	Noelyn	Boutcher	51401836	ahorros	" 55,818 "	7/24/2022	9/30/2017	RALEIGH	Charlesland	1071.00	Inactivo	 311 	 179 	Si	
310	Astrix	Hardware	62200961	corriente	" 53,955 "	1/17/2020	8/18/2016	TALLADEGA	Yemva	1990.00	Inactivo	 271 	 199 	Si	
311	Shina	Bosson	63107610	corriente	" 150,541 "	9/25/2020	3/25/2017	RICHMOND	Fermelã	1738.00	Inactivo	 275 	 548 	No	
312	Martainn	Pinwell	67016040	corriente	" 97,127 "	2/21/2022	4/4/2016	FT. LAUDERDALE	Ngangguk	1224.00	Inactivo	 292 	 332 	No	
313	Ethyl	Boggs	274970063	ahorros	" 70,818 "	12/7/2020	9/15/2016	CINCINNATI	S?lat al ??rith?yah	1665.00	Inactivo	 275 	 257 	Si	
314	Cate	Scotchmore	91204899	corriente	" 99,702 "	1/4/2025	6/26/2018	BATTLE LAKE	Celorico de Basto	176.00	Activo	 377 	 265 	No	
315	Cthrine	Whife	11300142	ahorros	" 15,075 "	5/12/2021	7/4/2017	WORCESTER	Buta Ranquil	1509.00	Inactivo	 280 	 54 	Si	
316	Rivy	Taffurelli	55001054	ahorros	" 151,177 "	11/4/2020	5/11/2016	PITTSBURGH	Naples	1698.00	Inactivo	 275 	 549 	No	
317	Franciskus	Dumphry	111926086	ahorros	" 27,660 "	3/6/2022	11/22/2017	WACO	Parakou	1211.00	Inactivo	 295 	 94 	Si	
318	Dale	Beveridge	11307116	corriente	" 209,832 "	5/12/2025	3/3/2017	SOUTH WINDSOR	Úšt?k	48.00	Activo	 389 	 540 	No	
319	Leroi	Kroin	21202175	corriente	" 122,854 "	2/10/2025	5/14/2016	MINNEAPOLIS	Dajanrurung	139.00	Activo	 379 	 324 	No	
320	Tonnie	Tomeo	81211928	ahorros	" 210,588 "	9/9/2020	12/1/2016	BROWNSTOWN	Ouaoula	1754.00	Inactivo	 275 	 767 	No	
321	Naoma	Streeting	42107738	corriente	" 137,821 "	3/1/2022	11/29/2016	BOONEVILLE	Bueng Kum	1216.00	Inactivo	 294 	 469 	No	
322	Byron	Farrans	91000080	corriente	" 160,907 "	10/14/2022	1/30/2017	MINNEAPOLIS	Kuybyshevo	989.00	Inactivo	 318 	 506 	No	
323	Hortense	Champkins	221270758	ahorros	" 186,508 "	2/10/2023	2/18/2018	READING	Lumbac	870.00	Inactivo	 329 	 567 	No	
324	Fabio	Degue	53274113	ahorros	" 12,917 "	7/31/2020	4/24/2018	N. CHAS	Parigi	1794.00	Inactivo	 275 	 47 	Si	
325	Griffin	Dog	124001545	corriente	" 16,372 "	10/8/2024	1/11/2017	TAMPA	Valado dos Frades	264.00	Activo	 376 	 44 	No	
326	Vernice	Chadd	114000776	corriente	" 193,273 "	5/29/2024	5/30/2016	TAMPA	San Agustin	396.00	Inactivo	 371 	 521 	No	
327	Elihu	Haynes	62104203	corriente	" 27,136 "	5/7/2023	8/13/2018	JACKSON	P?kpattan	784.00	Inactivo	 344 	 79 	Si	
328	Dave	Tumelty	72401789	corriente	" 45,053 "	8/12/2022	12/3/2016	MIDLAND	Sarilhos Grandes	1052.00	Inactivo	 312 	 144 	Si	
329	Linette	Spearing	104903362	ahorros	" 174,017 "	8/9/2020	7/14/2018	MILFORD	Villa Nueva	1785.00	Inactivo	 275 	 633 	No	
330	Bertha	Timewell	91409571	ahorros	" 12,736 "	2/25/2022	10/27/2017	NEW CASTLE	Misungwi	1220.00	Inactivo	 293 	 43 	Si	
331	Jeni	Turfs	113001077	corriente	" 27,803 "	12/7/2022	8/18/2016	HOUSTON	Jichang	935.00	Inactivo	 322 	 86 	Si	
332	Cecilius	Heel	71100324	ahorros	" 130,525 "	7/27/2022	6/2/2016	CLEVELAND	Z?ota	1068.00	Inactivo	 311 	 420 	No	
333	Jens	Haet	82904043	ahorros	" 109,568 "	4/11/2024	3/6/2018	MENA	Lesuhe	444.00	Inactivo	 367 	 299 	Si	
334	Fawne	MacKellar	114922430	ahorros	" 158,074 "	4/7/2023	11/10/2018	JUNCTION	Nossa Senhora da Glória	814.00	Inactivo	 340 	 465 	No	
335	Townie	Smouten	103000703	ahorros	" 187,960 "	2/15/2025	9/13/2017	KINGFISHER	Sundbyberg	134.00	Activo	 379 	 496 	No	
336	Analise	Matterface	72404841	corriente	" 109,149 "	5/5/2023	1/9/2018	CINCINNATI	Vo?inci	786.00	Inactivo	 344 	 318 	Si	
337	Charmion	Wawer	21308817	ahorros	" 154,458 "	1/17/2021	3/2/2016	CANTON	Passo Fundo	1624.00	Inactivo	 275 	 562 	No	
338	Harriet	Fleeming	83901825	ahorros	" 143,597 "	7/2/2020	9/5/2018	FRANKFORT	Pechora	1823.00	Inactivo	 276 	 520 	No	
339	Rochella	Corten	252070309	ahorros	" 134,124 "	1/30/2025	12/6/2017	WILSON	Mandapajaya	150.00	Activo	 378 	 355 	No	
340	Kit	Bitterton	75910882	corriente	" 190,622 "	6/25/2022	8/14/2017	NAPERVILLE	Fahraj	1100.00	Inactivo	 309 	 617 	No	
341	Shandra	Bertot	64202844	ahorros	" 41,668 "	11/26/2020	5/14/2016	MOUNTAIN CITY	B?glung	1676.00	Inactivo	 275 	 151 	Si	
342	Cathee	Ferrer	221572838	ahorros	" 182,616 "	1/28/2023	6/1/2016	SAN JUAN	Villa Carlos Paz	883.00	Inactivo	 327 	 558 	No	
343	Joy	Lowen	113010217	corriente	" 62,689 "	12/31/2023	4/22/2016	KILLEEN	Ková?ov	546.00	Inactivo	 358 	 175 	Si	
344	Fitzgerald	Rowaszkiewicz	83900619	corriente	" 82,692 "	2/5/2023	6/2/2018	FRANKFORT	Shihuajian	875.00	Inactivo	 328 	 252 	Si	
345	Nathalie	Horsfield	31304720	ahorros	" 102,814 "	2/17/2023	12/3/2016	AMHERST	Maoqitun	863.00	Inactivo	 330 	 311 	Si	
346	Florinda	Chamberlaine	91904267	corriente	" 51,784 "	9/11/2020	3/18/2016	LE CENTER	Ust’-Ulagan	1752.00	Inactivo	 275 	 189 	Si	
347	Leontyne	Menlow	122233645	ahorros	" 168,841 "	10/19/2021	10/3/2018	LOS ANGELES	Eira da Pedra	1349.00	Inactivo	 287 	 589 	No	
348	Linette	Alenikov	101003773	ahorros	" 128,963 "	2/5/2021	2/23/2018	RAYMORE	København	1605.00	Inactivo	 276 	 468 	No	
349	Alysa	Goreway	63014499	ahorros	" 31,044 "	3/25/2024	3/10/2017	MOULTRIE	Lunel	461.00	Inactivo	 365 	 85 	Si	
350	Joachim	Seven	91810623	ahorros	" 87,457 "	2/16/2023	8/2/2018	HAYWARD	Pasarkayu	864.00	Inactivo	 330 	 265 	Si	
